eee,1,0,273,0.996,10,2086,0.945,-16,2754,0.979,-12,3270,0.44,-17
ihh,1,0,385,0.987,10,2056,0.93,-20,2587,0.89,-20,3150,0.4,-20
ehh,1,0,515,0.977,10,1805,0.81,-10,2526,0.875,-10,3103,0.4,-13
aaa,1,0,773,0.95,10,1676,0.83,-6,2380,0.88,-20,3027,0.6,-20
ahh,1,0,770,0.95,0,1153,0.97,-9,2450,0.78,-29,3140,0.8,-39
aww,1,0,637,0.91,0,895,0.9,-3,2556,0.95,-17,3070,0.91,-20
ohh,1,0,637,0.91,0,895,0.9,-3,2556,0.95,-17,3070,0.91,-20
uhh,1,0,561,0.965,0,1084,0.93,-10,2541,0.93,-15,3345,0.9,-20
uuu,1,0,515,0.976,0,1031,0.95,-3,2572,0.96,-11,3345,0.96,-20
ooo,1,0,349,0.986,-10,918,0.94,-20,2350,0.96,-27,2731,0.95,-33
rrr,1,0,394,0.959,-10,1297,0.78,-16,1441,0.98,-16,2754,0.95,-40
lll,1,0,462,0.99,5,1200,0.64,-10,2500,0.2,-20,3000,0.1,-30
mmm,1,0,265,0.987,-10,1176,0.94,-22,2352,0.97,-20,3277,0.94,-31
nnn,1,0,204,0.98,-10,1570,0.94,-15,2481,0.98,-12,3133,0.8,-30
nng,1,0,204,0.98,-10,1570,0.94,-15,2481,0.98,-12,3133,0.8,-30
ngg,1,0,204,0.98,-10,1570,0.94,-15,2481,0.98,-12,3133,0.8,-30
fff,0,0.7,1000,0.3,0,2800,0.86,-10,7425,0.74,0,8140,0.86,0
sss,0,0.7,0,0,0,2000,0.7,-15,5257,0.75,-3,7171,0.84,0
thh,0,0.7,100,0.9,0,4000,0.5,-20,5500,0.5,-15,8000,0.4,-20
shh,0,0.7,2693,0.94,0,4000,0.72,-10,6123,0.87,-10,7755,0.75,-18
xxx,0,0.7,1000,0.3,-10,2800,0.86,-10,7425,0.74,0,8140,0.86,0
hee,0,0.1,273,0.996,-40,2086,0.945,-16,2754,0.979,-12,3270,0.44,-17
hoo,0,0.1,349,0.986,-40,918,0.94,-10,2350,0.96,-17,2731,0.95,-23
hah,0,0.1,770,0.95,-40,1153,0.97,-3,2450,0.78,-20,3140,0.8,-32
bbb,1,0.1,2000,0.7,-20,5257,0.75,-15,7171,0.84,-3,9000,0.9,0
ddd,1,0.1,100,0.9,0,4000,0.5,-20,5500,0.5,-15,8000,0.4,-20
jjj,1,0.1,2693,0.94,0,4000,0.72,-10,6123,0.87,-10,7755,0.75,-18
ggg,1,0.1,2693,0.94,0,4000,0.72,-10,6123,0.87,-10,7755,0.75,-18
vvv,1,1,2000,0.7,-20,5257,0.75,-15,7171,0.84,-3,9000,0.9,0
zzz,1,1,100,0.9,0,4000,0.5,-20,5500,0.5,-15,8000,0.4,-20
thz,1,1,2693,0.94,0,4000,0.72,-10,6123,0.87,-10,7755,0.75,-18
zhh,1,1,2693,0.94,0,4000,0.72,-10,6123,0.87,-10,7755,0.75,-18
